¼ø¹ø,±¸ºÐ,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,22-Oct,22-Nov,22-Dec,22-Jan,22-Feb,22-Mar
,°í¹æ¿À¸®,0,1,46,34,130,2,0,0,0,0,0,0,3,2,42,38,35,250,0,0,0,0,0,0,7,55,41,532,336,20,0,0,0,0,0,0,10,47,10,102,32,2,0,0,0,0,0,0,0,132,48,36,8,7
,¹ß±¸Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,°¡Ã¢¿À¸®,0,2,52,311,125,0,0,0,0,0,0,0,0,5,0,384,34,720,0,0,0,0,0,0,0,4,194,175,3,0,0,0,0,0,0,0,2,32,46,8,376,0,0,0,0,0,0,0,0,224,0,0,6,0
,¼è¿À¸®,84,371,441,"1,213",882,240,0,0,0,0,0,0,46,625,"1,185",621,636,387,0,0,0,0,0,0,49,669,"1,070","1,076",582,342,0,0,0,0,0,0,83,373,530,"1,329",646,176,0,0,0,0,0,0,59,721,823,979,552,489
,¹Ì±¹¼è¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ºÓÀººÎ¸®ÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Å«ÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,¹Ì±¹ÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ÈòÁ×Áö,0,1,354,259,431,49,0,0,0,0,0,0,0,205,506,458,158,23,0,0,0,0,0,0,38,371,387,581,468,2,0,0,0,0,0,0,1,125,104,280,39,1,0,0,0,0,0,0,0,145,149,952,739,88
,ºÓÀº°¡½¿ÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
